amplicon,converged,amplicon_factor,alpha,beta_zero,beta_one,method,mean,variance,gene
AMPL244875,True,0.0015267913773437253,0.28657212001420485,-5.791439704084095,1.0,pearson,154.80042097596834,2382.0054841598,ACVR1B
AMPL244876,True,0.00015869387682716394,0.6225927330916462,-8.055386333936019,1.0,pearson,161.1604573602695,5519.271964860652,ACVR1B
AMPL244877,True,0.0005837043314887306,0.5450813083496369,-6.752968804477333,1.0,pearson,156.59224960984875,4529.277614019533,ACVR1B
AMPL244879,True,5.809839228999029e-05,16.4700507029706,-9.060225385358063,1.0,pearson,310.84502962433766,35778.08683689654,SMAD6
AMPL248729,True,0.0004386503323819557,0.6300363370222174,-7.038660791091808,1.0,pearson,156.85948804288375,5488.27257277423,MTOR
AMPL248732,True,0.001080745498858515,0.5938953136382921,-6.136957018696614,1.0,pearson,149.96683101751384,3539.86438317808,ARID1A
AMPL248733,True,0.0007235667551008248,0.7369938262374354,-6.53817056869095,1.0,pearson,151.69283104291392,5243.720381404307,ARID1A
AMPL248743,True,0.006255839688457165,0.8875250258409517,-4.381092720754131,1.0,pearson,67.26011365655648,190.24437303400322,ARID1A
AMPL248744,True,0.0033505099469227613,0.4548416116630813,-5.005495541207938,1.0,pearson,122.54143891257876,1002.8589497263971,ARID1A
AMPL248748,True,0.0024064326870465967,1.1855335933177373,-5.33646266036066,1.0,pearson,109.42584137765206,1486.6491849975826,ARID1A
AMPL248758,True,0.00021098557966374158,0.48112751473871834,-7.770573589089609,1.0,pearson,162.83153835514747,4693.2449035360005,NOTCH2
AMPL248805,True,0.0017450139367862125,0.8622043106185315,-5.657845556102725,1.0,pearson,128.5424778276648,2590.8425605203643,ACVR2B
AMPL248806,True,0.0008404447333753019,0.9722931504585444,-6.388432181178849,1.0,pearson,141.84437665163023,5224.972798274737,ACVR2B
AMPL248807,True,0.0015222094569671875,0.30669609029332207,-5.7944452288934585,1.0,pearson,154.71524037587375,2440.4774288133112,ACVR2B
AMPL248809,True,0.0003429250641984774,0.6843768904600342,-7.284851425831368,1.0,pearson,157.86067886626682,5787.50300098308,PBRM1
AMPL248826,True,0.0015149888599672364,0.5543724873159442,-5.7992000126448335,1.0,pearson,144.1045471008248,2934.286201090872,FAT1
AMPL248830,True,5.006071226140871e-06,4.680102012048422,-11.511711956341577,1.0,pearson,402.1193032341811,16369.89016620887,RICTOR
AMPL248841,True,4.037696947039938e-05,6.020639561727443,-9.42410381759857,1.0,pearson,260.7411033495164,20902.33747136789,RREB1
AMPL248842,True,0.0013399490488248237,0.3734880275913965,-5.921976508447331,1.0,pearson,153.4959417061477,3052.8689323608505,EHMT2
AMPL248843,True,0.004269077069582037,0.9913816249378219,-4.76321043749894,1.0,pearson,82.03314984673501,500.20889009809036,DAXX
AMPL248844,True,0.004929241769759045,0.30176224152187364,-4.619422921433425,1.0,pearson,116.16287594159607,497.18629166803584,DAXX
AMPL248845,True,0.002474469064224909,0.7256022410677685,-5.308582244919226,1.0,pearson,119.26866216953538,1626.1947508351404,DAXX
AMPL248849,True,0.00023745120368056228,1.0574223445038688,-7.652401233226164,1.0,pearson,160.26363291664376,7312.38505739975,ARID1B
AMPL248866,True,0.0004870399168387076,0.5155523833411543,-6.93401729291946,1.0,pearson,155.52816492861206,4137.804379807741,KMT2C
AMPL248894,True,6.456133925371816e-05,1.4242550873288582,-8.954747609331307,1.0,pearson,181.88053961201277,8302.699003515683,CTNNA3
AMPL248928,True,0.0006721010249505869,0.4626651936980152,-6.611954713432418,1.0,pearson,158.2008864983735,4045.0036607664824,ARID2
AMPL248929,True,0.0009637194150479354,0.44828790795119877,-6.251563188389189,1.0,pearson,155.62726324210914,3973.695858186451,ARID2
AMPL248935,True,0.00024236914826688145,0.865007729494688,-7.63190140743619,1.0,pearson,156.91851881035814,6446.4472646780905,KMT2D
AMPL248950,True,0.0006799714153010918,1.4083467001215189,-6.600312616439651,1.0,pearson,145.34384987173445,5980.795527962916,BRCA2
AMPL248970,True,0.0006829765433236369,0.6916126317678637,-6.5959028620197255,1.0,pearson,154.13093354181484,5006.3311949619265,PALB2
AMPL248996,True,0.0028652605176069205,0.9533314651659278,-5.161948821287579,1.0,pearson,104.16945687714548,1154.4774944881274,BRCA1
AMPL249000,True,0.0009296265462560483,0.44550566258333435,-6.2875804350706455,1.0,pearson,155.60790650556248,3818.0503724707264,RNF43
AMPL249003,True,0.0005397648203538245,0.5706630912690424,-6.831229850574746,1.0,pearson,158.82915160754297,5168.104782874012,AXIN2
AMPL249040,True,0.0017798805634889057,1.0237163037618793,-5.638061835532984,1.0,pearson,122.44085996896091,2592.284698670087,ARHGAP35
AMPL249045,True,0.0006331428172492287,0.6736859290852094,-6.671667361041414,1.0,pearson,155.60091981868214,4633.332167876987,DNMT3B
AMPL249051,True,0.0009013500101468425,0.5520218107065773,-6.318469726698899,1.0,pearson,155.13175013743094,3878.002564558073,EP300
AMPL249062,True,0.001627785817581413,0.849563961090014,-5.727387401179019,1.0,pearson,139.6757694794813,1922.803580108912,MED12
AMPL249250,True,0.00827171980492307,0.6298195005447811,-4.1017656539422065,1.0,pearson,63.929538899623076,83.9213349087774,TGFBR2
AMPL249251,True,0.003193794092335198,0.4707614252691179,-5.053398517728374,1.0,pearson,123.73448858098587,964.0770566680504,TGFBR2
AMPL249436,True,0.00017675847858970498,1.6538202308916203,-7.947579104388014,1.0,pearson,165.06854038062468,8832.304848986714,MEN1
AMPL249492,True,0.001219805163406068,0.45783516768133564,-6.015916954556943,1.0,pearson,151.50600106471418,3179.504068342246,ACVR1B
AMPL249606,True,0.0017418985528985995,0.776714536738099,-5.659632457681577,1.0,pearson,137.38001044892107,2133.676245795885,RNF43
AMPL249649,True,0.00011839873155122762,2.8692581094062746,-8.348305368261578,1.0,pearson,190.67592963731505,11576.365377258704,STK11
AMPL250217,True,0.0016707393691085574,0.4573005815551079,-5.701341833979042,1.0,pearson,146.63334689772896,2511.0932205185654,RPL22
AMPL250219,True,0.00013073295123420669,0.9415558857297409,-8.249206675051282,1.0,pearson,158.77741116697337,5692.110403031143,MTOR
AMPL250221,True,0.001155184219581074,0.7335512637227102,-6.070348269694013,1.0,pearson,149.51202107279235,3308.199442992667,EPHA2
AMPL250222,True,0.0019187790204499948,0.3900755478821557,-5.562919041518706,1.0,pearson,146.09396202329637,2092.839598647822,CDC42
AMPL250226,True,0.0006054749883903847,0.46092134571418336,-6.716350122629533,1.0,pearson,157.981946137581,4494.199342083401,RPL5
AMPL250228,True,0.00013090924000510766,1.0595400627591924,-8.247859118705396,1.0,pearson,170.03482166766844,7869.882996059564,NOTCH2
