amplicon,converged,amplicon_factor,alpha,beta_zero,beta_one,method,mean,variance
AMPL253477,True,0.0015033272039086,0.366913328351547,-5.806927310806657,1.0,pearson,191.70378981132788,5615.068030315188
AMPL242370,True,0.0012001138201618,0.3179739936127312,-6.032191695991374,1.0,pearson,202.699896127087,7277.232299454356
AMPL257635,True,0.0007025331014727,0.6482395482106538,-6.567670857772328,1.0,pearson,199.55327742171983,11049.539995626708
AMPL257636,True,0.0006774906184024,0.5299069805766038,-6.603967672122771,1.0,pearson,205.3402474796736,11384.57869008997
AMPL250316,True,0.001621102442965,0.3239749103652455,-5.731501660278083,1.0,pearson,193.4202591410822,5714.216700302386
AMPL257637,True,0.0013275392581029,0.4326620167047609,-5.931281051766571,1.0,pearson,193.26716530104625,6866.900689018512
AMPL257638,True,0.0008803817507296,0.4451569855066503,-6.342007756352038,1.0,pearson,203.2836158453452,9172.550216868138
AMPL251225,True,8.784543413192146e-06,5.349420768412354,-10.949369630571582,1.0,pearson,424.1976044761221,49016.81536690071
AMPL250318,True,0.0001838836479904,0.6264096715955763,-7.908060167689683,1.0,pearson,219.8159422095021,17830.22601590916
AMPL257639,True,0.0012399682743221,0.4342116119206725,-5.999522304356627,1.0,pearson,195.4863357615927,7425.228179183538
AMPL251228,True,0.0012698767534469,0.3960509760122694,-5.975688247190799,1.0,pearson,198.2867448812919,7853.672175044612
AMPL249436,True,0.0001414315427816,1.3007521738209968,-8.170547573984761,1.0,pearson,227.78955900287377,22405.89284630229
AMPL13179,True,0.0009229872605541,0.5738381071173662,-6.294747945213288,1.0,pearson,200.85481564673643,9545.718767540737
AMPL253490,True,0.0008882482324946,0.7302907295005603,-6.333112132378877,1.0,pearson,193.3254966779393,9152.985145392871
AMPL253491,True,0.001256250995393,0.6224400765270818,-5.986476213244599,1.0,pearson,185.68198473778247,6930.256671662393
AMPL252829,True,0.0017796583524285,0.3600770532143649,-5.638186689378296,1.0,pearson,186.91756479551725,5023.406721053317
AMPL252830,True,0.0018865348750758,0.3730571053533448,-5.579866351515231,1.0,pearson,183.1841261669111,4738.758276820105
AMPL252831,True,0.0005356042885409,0.4399366608901939,-6.838967756634779,1.0,pearson,212.5163392705935,12556.93231784945
AMPL252832,True,0.0009736551996162,1.1383337227068704,-6.241306140936969,1.0,pearson,169.28128607632584,6476.247374479708
AMPL257645,True,0.001397495564373,0.4897444684177904,-5.87992634635288,1.0,pearson,185.57567494145988,5594.194944171743
AMPL252834,True,0.0006379296058026,0.5081060178854356,-6.664135435879565,1.0,pearson,208.5837972186697,12460.101845051446
AMPL252605,True,0.0004935005665558,1.0268700307651453,-6.920839370495325,1.0,pearson,200.27269178590183,14769.96383897209
AMPL250319,True,0.0005755090069247,0.5860365160615502,-6.767108498757098,1.0,pearson,207.21689438348,12743.914184870757
AMPL251230,False,9.687313178231626e-07,1.116403508491813e-19,-13.154131360732569,1.0,pearson,1090.6768209904365,370156.7444181133
AMPL250320,True,0.0003226482247389,0.7734161224351398,-7.345800735163803,1.0,pearson,211.5147199857069,17838.59906596686
AMPL250321,True,0.0008985351952089,0.7842698946530188,-6.321597500875061,1.0,pearson,188.6743177067673,8742.70625214697
AMPL257654,True,0.0004095119922883,0.7432413846633289,-7.107397189342473,1.0,pearson,211.76616113762745,16324.482310516554
AMPL251234,True,0.0004821148085946,2.3059783684709654,-6.944181099611925,1.0,pearson,213.81756482163732,12025.520313884906
AMPL257655,True,0.0007221039968931,0.7321980879919876,-6.540194208866009,1.0,pearson,194.1787696235775,9704.932268504332
AMPL251236,True,0.0005927789052028,0.6431865765496184,-6.73754188907107,1.0,pearson,203.34818074654936,12210.641610831342
AMPL251237,True,0.0024981225017437,0.3538212186061628,-5.299068647991794,1.0,pearson,170.34418428110132,3149.203410335755
AMPL251238,True,0.00025059368337,1.0784924932342832,-7.598530541285181,1.0,pearson,207.89141209882408,17207.845391490093
AMPL251239,True,0.0008515829102639,0.5014153778988423,-6.375266512383468,1.0,pearson,201.2967284775081,9587.40759288962
AMPL44548,True,0.0008283513110322,0.5519813895095546,-6.402926024317737,1.0,pearson,197.72911465993408,8813.498969012036
AMPL250326,True,0.0010715415510671,0.5006674347500072,-6.145509784831738,1.0,pearson,195.402506476356,7947.725316668785
AMPL117931,True,1.127020601475914e-05,2.654909698255869,-10.70020076959433,1.0,pearson,358.30499937633584,30405.9231084136
AMPL91658,True,0.0006496166457049,0.454365175893816,-6.645980964339362,1.0,pearson,209.98811125831912,11838.97437121191
AMPL253520,True,0.0005743587045932,0.5900443434834276,-6.7691092553722845,1.0,pearson,204.94831972277896,11648.850717889862
